date,births,deaths,Average deaths,,,,,
1841-01-01, 254 , 37 ,,,254,,37,
1841-02-01, 239 , 18 ,,,,,,
1841-03-01, 277 , 12 ,,,Mean,267.1340206,Mean,22.31958763
1841-04-01, 255 , 4 ,,,Standard Error,4.260917574,Standard Error,1.845314629
1841-05-01, 255 , 2 , 15 ,,Median,264,Median,16
1841-06-01, 200 , 10 , 9 ,,Mode,311,Mode,3
1841-07-01, 190 , 16 , 9 ,,Standard Deviation,41.96517129,Standard Deviation,18.17424138
1841-08-01, 222 , 3 , 7 ,,Sample Variance,1761.075601,Sample Variance,330.3030498
1841-09-01, 213 , 4 , 7 ,,Kurtosis,1.775347518,Kurtosis,-0.17856231
1841-10-01, 236 , 26 , 12 ,,Skewness,0.864260217,Skewness,0.81070002
1841-11-01, 235 , 53 , 20 ,,Range,216,Range,75
1842-01-01, 307 , 64 , 30 ,,Minimum,190,Minimum,0
1842-02-01, 311 , 38 , 37 ,,Maximum,406,Maximum,75
1842-03-01, 264 , 27 , 42 ,,Sum,25912,Sum,2165
1842-04-01, 242 , 26 , 42 ,,Count,97,Count,97
1842-05-01, 310 , 10 , 33 ,,,,,
1842-06-01, 273 , 18 , 24 ,,,,,
1842-07-01, 231 , 48 , 26 ,,,,,
1842-08-01, 216 , 55 , 31 ,,,,,
1842-09-01, 223 , 41 , 34 ,,,,,
1842-10-01, 242 , 71 , 47 ,,,,,
1842-11-01, 209 , 48 , 53 ,,,,,
1842-12-01, 239 , 75 , 58 ,,,,,
1843-01-01, 272 , 52 , 57 ,,,,,
1843-02-01, 263 , 42 , 58 ,,,,,
1843-03-01, 266 , 33 , 50 ,,,,,
1843-04-01, 285 , 34 , 47 ,,,,,
1843-05-01, 246 , 15 , 35 ,,,,,
1843-06-01, 196 , 8 , 26 ,,,,,
1843-07-01, 191 , 1 , 18 ,,,,,
1843-08-01, 193 , 3 , 12 ,,,,,
1843-09-01, 221 , 5 , 6 ,,,,,
1843-10-01, 250 , 44 , 12 ,,,,,
1843-11-01, 252 , 18 , 14 ,,,,,
1843-12-01, 236 , 19 , 18 ,,,,,
1844-01-01, 244 , 37 , 25 ,,,,,
1844-02-01, 257 , 29 , 29 ,,,,,
1844-03-01, 276 , 47 , 30 ,,,,,
1844-04-01, 208 , 36 , 34 ,,,,,
1844-05-01, 240 , 14 , 33 ,,,,,
1844-06-01, 224 , 6 , 26 ,,,,,
1844-07-01, 206 , 9 , 22 ,,,,,
1844-08-01, 269 , 17 , 16 ,,,,,
1844-09-01, 245 , 3 , 10 ,,,,,
1844-10-01, 248 , 8 , 9 ,,,,,
1844-11-01, 245 , 27 , 13 ,,,,,
1844-12-01, 256 , 27 , 16 ,,,,,
1845-01-01, 303 , 23 , 18 ,,,,,
1845-02-01, 274 , 13 , 20 ,,,,,
1845-03-01, 292 , 13 , 21 ,,,,,
1845-04-01, 260 , 11 , 17 ,,,,,
1845-05-01, 296 , 13 , 15 ,,,,,
1845-06-01, 280 , 20 , 14 ,,,,,
1845-07-01, 245 , 15 , 14 ,,,,,
1845-08-01, 251 , 9 , 14 ,,,,,
1845-09-01, 237 , 25 , 16 ,,,,,
1845-10-01, 283 , 42 , 22 ,,,,,
1845-11-01, 265 , 29 , 24 ,,,,,
1845-12-01, 267 , 28 , 27 ,,,,,
1846-01-01, 336 , 45 , 34 ,,,,,
1846-02-01, 293 , 53 , 39 ,,,,,
1846-03-01, 311 , 48 , 41 ,,,,,
1846-04-01, 253 , 48 , 44 ,,,,,
1846-05-01, 305 , 41 , 47 ,,,,,
1846-06-01, 266 , 27 , 43 ,,,,,
1846-07-01, 252 , 33 , 39 ,,,,,
1846-08-01, 216 , 39 , 38 ,,,,,
1846-09-01, 271 , 39 , 36 ,,,,,
1846-10-01, 254 , 38 , 35 ,,,,,
1846-11-01, 297 , 32 , 36 ,,,,,
1846-12-01, 298 , 16 , 33 ,,,,,
1847-01-01, 311 , 10 , 27 ,,,,,
1847-02-01, 312 , 6 , 20 ,,,,,
1847-03-01, 305 , 11 , 15 ,,,,,
1847-04-01, 312 , 57 , 20 ,,,,,
1847-05-01, 294 , 36 , 24 ,,,,,
1847-06-01, 268 , 6 , 23 ,,,,,
1847-07-01, 250 , 3 , 23 ,,,,,
1847-08-01, 264 , 5 , 21 ,,,,,
1847-09-01, 262 , 12 , 12 ,,,,,
1847-10-01, 278 , 11 , 7 ,,,,,
1847-11-01, 246 , 11 , 8 ,,,,,
1847-12-01, 273 , 8 , 9 ,,,,,
1848-01-01, 283 , 10 , 10 ,,,,,
1848-02-01, 291 , 2 , 8 ,,,,,
1848-03-01, 276 , -   , 6 ,,,,,
1848-04-01, 305 , 2 , 4 ,,,,,
1848-05-01, 313 , 3 , 3 ,,,,,
1848-06-01, 264 , 3 , 2 ,,,,,
1848-07-01, 269 , 1 , 2 ,,,,,
1848-08-01, 261 , -   , 2 ,,,,,
1848-09-01, 312 , 3 , 2 ,,,,,
1848-10-01, 299 , 7 , 3 ,,,,,
1848-11-01, 310 , 9 , 4 ,,,,,
1848-12-01, 373 , 5 , 5 ,,,,,
1849-01-01, 403 , 9 , 7 ,,,,,
1849-02-01, 389 , 12 , 8 ,,,,,
1849-03-01, 406 , 20 , 11 ,,,,,
,,, 12 ,,,,,
